# iy iz iroll Y Z Roll candidate quality q0 q1 q2 q3 q4 q5 mode
0 4 3 -0.75000000 0.12777800 -0.18333300 -1 1.37716592 0.80000000 -0.00000000 0.65271317 0.79223776 0.17263000 0.00000000 0
0 4 4 -0.75000000 0.12777800 0.02222220 -1 1.52332746 0.90000000 -0.00000000 0.61452177 0.75485788 0.88933100 0.00000000 0
0 4 5 -0.75000000 0.12777800 0.22777800 -1 1.39536795 1.00000000 -0.00000000 0.56712521 0.73461741 0.85433500 0.00000000 0
0 4 6 -0.75000000 0.12777800 0.43333300 -1 1.20817094 1.00000000 -0.00000000 -1.02008880 2.19452463 1.50276000 0.00000000 0
0 4 7 -0.75000000 0.12777800 0.63888900 -1 1.21887113 1.00000000 -0.00000000 -1.00357867 2.14087416 0.30609200 0.00000000 0
0 4 8 -0.75000000 0.12777800 0.84444400 -1 1.24422017 1.00000000 -0.00000000 -1.28284820 1.97116510 1.15823000 0.00000000 0
0 4 9 -0.75000000 0.12777800 1.05000000 -1 1.06869018 1.00000000 -0.00000000 -1.27867805 1.94606181 0.66477100 0.00000000 0
0 5 0 -0.75000000 0.17222200 -0.80000000 -1 1.45406214 0.60000000 0.00000000 -0.29945602 2.13851254 0.21984400 0.00000000 0
0 5 1 -0.75000000 0.17222200 -0.59444400 -1 1.76497288 0.50000000 -0.00000001 -0.40450905 2.09785677 0.98143600 0.00000000 0
0 5 2 -0.75000000 0.17222200 -0.38888900 -1 1.84351341 0.90000000 -0.00000000 -0.47474479 2.07304299 -0.84521900 0.00000000 0
0 5 3 -0.75000000 0.17222200 -0.18333300 -1 1.62557965 0.80000000 -0.00000000 -0.64772332 2.11523967 1.51500000 0.00000000 0
0 5 4 -0.75000000 0.17222200 0.02222220 -1 1.57971904 0.80000000 0.00000000 -0.82838841 2.17762573 -1.25795000 0.00000000 0
0 5 5 -0.75000000 0.17222200 0.22777800 -1 1.46503250 1.00000000 -0.00000001 0.55110100 0.75280189 1.42065000 0.00000000 0
0 5 6 -0.75000000 0.17222200 0.43333300 -1 1.23711330 1.00000000 -0.00000001 -0.96037441 2.16515135 1.04896000 0.00000000 0
0 5 7 -0.75000000 0.17222200 0.63888900 -1 1.15529090 1.00000000 -0.00000000 -0.98148890 2.08019562 -0.67719600 0.00000000 0
0 5 8 -0.75000000 0.17222200 0.84444400 -1 1.16374651 1.00000000 -0.00000000 -1.27820570 1.93574859 -1.01227000 0.00000000 0
0 5 9 -0.75000000 0.17222200 1.05000000 -1 0.99564131 1.00000000 -0.00000000 -1.27148142 1.90962343 -1.72311000 0.00000000 0
0 6 0 -0.75000000 0.21666700 -0.80000000 -1 1.51778208 0.40000000 -0.00000000 -0.19383995 2.13507338 0.08963510 0.00000000 0
0 6 1 -0.75000000 0.21666700 -0.59444400 -1 1.62579838 0.40000000 -0.00000001 -0.31234649 2.10333525 1.19387000 0.00000000 0
0 6 2 -0.75000000 0.21666700 -0.38888900 -1 1.64872436 0.60000000 0.00000000 -0.46879350 2.07921529 0.23282000 0.00000000 0
0 6 3 -0.75000000 0.21666700 -0.18333300 -1 1.71573897 0.90000000 -0.00000001 -0.75435998 2.17773044 1.39867000 0.00000000 0
0 6 4 -0.75000000 0.21666700 0.02222220 -1 1.67113284 0.80000000 -0.00000000 -0.81367036 2.18781233 0.66194900 0.00000000 0
0 6 5 -0.75000000 0.21666700 0.22777800 -1 1.39238199 0.90000000 -0.00000001 -0.86632622 2.17955557 1.61965000 0.00000000 0
0 6 6 -0.75000000 0.21666700 0.43333300 -1 1.16063814 1.00000000 -0.00000001 -0.94219322 2.15214869 -0.70021100 0.00000000 0
0 6 7 -0.75000000 0.21666700 0.63888900 -1 1.05138297 1.00000000 0.00000000 0.03370814 0.94214310 0.50868000 0.00000000 0
0 6 8 -0.75000000 0.21666700 0.84444400 -1 1.04681740 1.00000000 -0.00000000 -0.94708246 1.67639126 -1.14339000 0.00000000 0
0 6 9 -0.75000000 0.21666700 1.05000000 -1 0.94602811 1.00000000 -0.00000000 -0.99418463 1.64081177 0.63719500 0.00000000 0
0 7 0 -0.75000000 0.26111100 -0.80000000 -1 1.50834155 0.40000000 -0.00000000 -0.10556734 2.12038553 0.41763200 0.00000000 0
